Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
Wycombe , MK Dons,1,0,2,0,2.5,2.8,2.75,1,UST
Djurgarden , Helsingborg,1,2,2,2,1.3,4.7,8.0,0,UST
Salernitana , Venezia,1,0,2,1,1.82,3.3,3.7,1,UST
Suwon City , Incheon,1,1,2,2,2.2,3.0,3.0,0,UST
Sangmu , Gangwon,0,0,1,0,2.1,3.1,3.05,1,ALT
Western Sydney , Wellington,1,1,1,2,1.95,3.5,3.2,2,UST
Suwon , Ulsan,0,0,1,0,4.1,3.4,1.72,1,ALT
Pohang , Daegu,0,0,1,1,1.87,3.05,3.9,0,ALT
Jeonbuk , Seoul,0,0,1,1,1.75,3.3,4.0,0,ALT
Seongnam , Jeju,1,2,1,2,3.9,3.05,1.87,2,UST
FC Cincinnati , Toronto FC,1,0,2,0,1.85,3.6,3.4,1,UST
Real Madrid , Manchester City,0,0,2,1,2.5,4.1,2.15,1,UST
Perth Glory , Melbourne City,1,0,2,0,8.0,5.0,1.25,1,UST
Newcastle Jets , Western United,0,1,1,1,3.4,3.7,1.82,0,UST
Tochigi SC , M Yamagata,0,1,1,2,3.9,3.0,1.87,2,UST
Gamba Osaka , C Sapporo,0,0,0,0,3.2,3.3,1.97,0,ALT
Fagiano Okayama , Mito Hollyhock,1,0,2,1,2.35,2.95,2.8,1,UST
Tokyo Verdy , Vegalta Sendai,1,1,3,1,2.3,3.3,2.6,1,UST
Oita Trinita , Omiya Ardija,1,1,1,1,1.95,3.1,3.5,0,UST
Albirex Niigata , Z Kanazawa,1,0,1,0,1.9,3.1,3.6,1,ALT
Ventforet Kofu , Thespa Kusatsu,0,0,1,0,1.8,3.1,4.1,1,ALT
FC Yokohama , Roasso Kumamoto,0,0,0,1,1.9,3.2,3.6,2,ALT
Tokushima V , JEF Utd Chiba,0,0,1,0,2.35,2.6,3.2,1,ALT
R Yamaguchi , Machida Zelvia,2,1,3,1,3.9,3.0,1.87,1,UST
Blaublitz Akita , FC Ryukyu,2,1,2,1,2.4,2.85,2.75,1,UST
Grulla Morioka , Varen Nagasaki,0,3,0,4,3.4,3.2,1.95,2,UST
Villarreal , Liverpool,2,0,2,3,4.2,3.9,1.6,2,UST
Bournemouth , Nottingham,0,0,1,0,2.2,3.05,2.95,1,ALT
Brisbane Roar , Central Coast,0,1,0,2,3.0,3.3,2.03,2,UST
Avispa Fukuoka , FC Tokyo,2,1,5,1,2.85,2.55,2.6,1,UST
Sagan Tosu , Cerezo Osaka,0,0,1,1,2.4,2.9,2.75,0,ALT
Shonan Bellmare , Shimizu S Pulse,0,3,1,4,2.6,2.85,2.6,2,UST
Kashima Antlers , Jubilo Iwata,2,0,3,1,1.45,3.9,6.0,1,UST
Nagoya Grampus , Kyoto Sanga,1,1,1,1,1.97,3.0,3.5,0,UST
S Hiroshima , Kashiwa Reysol,1,0,1,2,1.8,3.3,3.9,2,UST
Sao Paulo , Santos,1,1,2,1,1.58,3.5,4.8,1,UST
Manchester Utd , Brentford,1,0,3,0,1.6,3.9,4.2,1,UST
Getafe , Real Betis,0,0,0,0,2.85,2.9,2.35,0,ALT
Leverkusen , E Frankfurt,1,0,2,0,1.42,4.7,4.8,1,UST
Monchengladbach , RB Leipzig,2,1,3,1,4.5,3.8,1.58,1,UST
Hammarby , Malmo,0,0,0,0,2.1,3.05,3.3,0,ALT
IFK Gothenburg , Kalmar,1,0,1,2,1.9,3.2,3.6,2,UST
Norrkoping , Varnamo,0,0,2,0,1.63,3.5,4.5,1,ALT
Fulham , Luton,2,0,7,0,1.42,4.1,6.0,1,UST
Los Angeles FC , Minnesota Utd,0,0,2,0,1.42,4.4,5.2,1,ALT
